,Actual Outcome,prob_0,prob_1,predicted_TARGET
0,0,0.93548644,0.06451359,0
1,0,0.94046205,0.059537955,0
2,0,0.90122014,0.09877984,0
3,0,0.91958046,0.08041956,0
4,0,0.9502555,0.049744464,0
5,0,0.93156713,0.06843289,0
6,0,0.93472666,0.06527337,0
7,0,0.8829016,0.11709838,0
8,0,0.9746224,0.025377579,0
9,0,0.8554476,0.14455242,0
10,0,0.9790372,0.020962758,0
11,0,0.99500686,0.0049931533,0
12,0,0.95859456,0.041405417,0
13,0,0.9799711,0.020028882,0
14,0,0.90748346,0.09251651,0
15,0,0.8977424,0.1022576,0
16,0,0.8972052,0.10279483,0
17,0,0.91148734,0.08851263,0
18,0,0.93152285,0.068477154,0
19,0,0.9672178,0.032782212,0
20,0,0.96463877,0.03536124,0
21,0,0.89623016,0.103769824,0
22,0,0.89395976,0.10604022,0
23,0,0.9442544,0.055745583,0
24,0,0.95268834,0.047311682,0
25,0,0.95203155,0.047968436,0
26,0,0.9688883,0.031111725,0
27,0,0.98319894,0.016801048,0
28,0,0.9254533,0.07454668,0
29,0,0.93300045,0.06699957,0
30,0,0.95909876,0.040901218,0
31,0,0.8590528,0.14094724,0
32,0,0.8915182,0.10848184,0
33,1,0.9322336,0.06776643,0
34,0,0.869523,0.13047701,0
35,0,0.99056333,0.00943665,0
36,0,0.9045793,0.09542069,0
37,0,0.8914225,0.108577475,0
38,0,0.89835465,0.10164538,0
39,0,0.9967917,0.003208253,0
40,0,0.9182928,0.08170718,0
41,0,0.87723076,0.12276924,0
42,0,0.965419,0.03458101,0
43,1,0.9145118,0.085488215,0
44,0,0.9824566,0.017543377,0
45,0,0.9521072,0.047892824,0
46,0,0.9424395,0.057560522,0
47,0,0.94619477,0.05380523,0
48,0,0.96412116,0.035878837,0
49,1,0.96562964,0.03437036,0
50,1,0.90349704,0.09650296,0
51,0,0.9720855,0.027914532,0
52,0,0.98162425,0.018375779,0
53,0,0.9676172,0.032382797,0
54,0,0.9704488,0.029551204,0
55,0,0.8427628,0.15723717,0
56,0,0.9932012,0.0067987964,0
57,0,0.96024895,0.03975107,0
58,0,0.8597126,0.14028741,0
59,0,0.9756797,0.024320299,0
60,0,0.9504464,0.04955356,0
61,0,0.97426754,0.025732452,0
62,0,0.96237016,0.037629854,0
63,1,0.6906371,0.3093629,0
64,0,0.9255577,0.074442334,0
65,0,0.9574247,0.04257528,0
66,0,0.9642223,0.035777684,0
67,0,0.6515013,0.3484987,0
68,0,0.93349576,0.06650427,0
69,0,0.9538651,0.046134897,0
70,0,0.9484331,0.05156691,0
71,1,0.8956613,0.10433872,0
72,0,0.95089144,0.049108583,0
73,0,0.9391404,0.060859628,0
74,0,0.9625521,0.037447926,0
75,1,0.9499036,0.050096408,0
76,0,0.94523454,0.054765485,0
77,0,0.96991676,0.030083254,0
78,0,0.9566216,0.04337843,0
79,0,0.814327,0.18567297,0
80,0,0.97065234,0.029347682,0
81,0,0.9596146,0.040385403,0
82,0,0.8636652,0.13633479,0
83,0,0.92521745,0.07478254,0
84,1,0.87083304,0.12916698,0
85,0,0.9819754,0.018024651,0
86,0,0.9572815,0.042718522,0
87,0,0.96803534,0.03196469,0
88,0,0.95604765,0.043952342,0
